"Code","DateField","Forest","Plot","SubPlot","idTree","FieldNbr","Habitat","Type","Genus","Species","TreeHeight","TreeDawkins","BranchHeight","BranchDawkins","CrownPosition","DBH","Xutm","Yutm","TWI"
657,"13/09/2021","Paracou","16","15",158148,"320","BF","BF","Virola","surinamensis",25,5,25,5,"High",40.2866242,"285,569.30","581,590.80",9.992872
658,"13/09/2021","Paracou","16","15",205438,NA,"BF","Generalist","Jacaranda","copaia subsp. copaia",20,5,20,5,"High",18.15286624,"285,572.20","581,598.40",9.992872
659,"13/09/2021","Paracou","16","15",191854,NA,"BF","BF","Virola","surinamensis",18,4,18,4,"High",23.88535032,"285,566.30","581,602.40",9.992872
660,"13/09/2021","Paracou","16","15",157940,"106","TF","TF","Gustavia","hexapetala",10,1,8,2,"Low",12.89808917,"285,536.90","581,599.30",9.992872
661,"13/09/2021","Paracou","16","14",157726,"413","TF","TF","Casearia","javitensis",8,3,5,2,"Low",15.92356688,"285,520.80","581,517.30",6.596932
662,"13/09/2021","Paracou","16","14",157691,"378","BF","BF","Virola","surinamensis",28,4,25,3,"Low",37.42038217,"285,486.50","581,527.40",8.757085
663,"13/09/2021","Paracou","16","15",158037,"205","BF","Generalist","Chrysophyllum","prieurii",28,4,24,3,"Middle",30.89171975,"285,564.20","581,547.00",9.992872
664,"13/09/2021","Paracou","16","15",158036,"204","BF","BF","Laetia","procera",33,5,33,5,"High",61.78343949,"285,561.30","581,546.10",9.992872
665,"13/09/2021","Paracou","16","16",158450,"101","TF","Generalist","Protium","stevensonii",28,4,26,4,"High",47.61146497,"285,150.80","581,385.60",6.876084
666,"13/09/2021","Paracou","16","16",158485,"136","TF","Generalist","Protium","stevensonii",25,3,22,3,"Low",38.37579618,"285,172.60","581,379.10",6.876084
667,"13/09/2021","Paracou","16","16",158574,"226","TF","Generalist","Conceveiba","guianensis",10,3,10,3,"Low",15.2866242,"285,209.20","581,316.90",6.246121
