PlotName,Study site,Plot,Area (ha),Number of trees,Xutm,Yutm,UTMZone,Latitude,Longitude,Localization
Paracou_6,Paracou,6,6.25,40,286457,582936,22,5.27,-52.93,"5°16'15''N, 52°55'36''W"
Paracou_11,Paracou,11,6.25,20,286154,581174,22,5.25,-52.93,"5°15'18''N, 52°55'46''W"
Paracou_13,Paracou,13,6.25,44,285412,583021,22,5.27,-52.94,"5°16'18''N, 52°56'10''W"
Paracou_14,Paracou,14,6.25,56,285787,583145,22,5.27,-52.93,"5°16'22''N, 52°55'58''W"
Paracou_15,Paracou,15,6.25,46,286338,583506,22,5.28,-52.93,"5°16'34''N, 52°55'40''W"
Paracou_16,Paracou,16,25,20,285201,581199,22,5.26,-52.94,"5°15'18''N, 52°56'17''W"
Bafog_2,Bafog,2,4,25,168043,607061,22,5.48,-53.995,"5°29'04''N, 53°59'44''W"
Bafog_3,Bafog,3,4,79,168706,607119,22,5.49,-53.99,"5°29'06''N, 53°59'22''W"
Bafog_4,Bafog,4,4,1,168892,607993,22,5.49,-53.99,"5°27'28''N, 53°53'19''W"
Bafog_5,Bafog,5,4,76,179873.4,604046.7,22,5.46,-53.89,"5°27'28''N, 53°53'20''W"
Kaw_Montagne,Kaw,Montagne de Kaw,6.25,46,369048,504548,22,4.56,-52.2,"4°33’49''N, 52°10’50''W"
Kaw_RNRTresor,Kaw,Réserve Naturelle Régionale Trésor,1,20,358101,509371,22,4.61,-52.28,"4°36'26''N, 52°16'45''W"
Kaw_CriqueGabrielle,Kaw,Crique Gabrielle,Out of plot,14,357584,521443,22,4.72,-52.28,"4°42'59''N, 52°17'03''W"
Kaw_WaikiVillage,Kaw,Waiki Village,Out of plot,10,353575,524246,22,4.74,-52.32,"4°44’30''N, 52°19’13''W"
Kaw_OutPlot1,Kaw,OutPlot1,Out of plot,26,355593,521645,22,4.72,-52.3,"4°43’05''N, 52°18’07''W"
Kaw_OutPlot2,Kaw,OutPlot2,Out of plot,29,348746,517831,22,4.68,-52.36,"4°41'01''N, 52°21'49''W"
