Code,Genus,Species,Name,Habitat,Type,Forest,Plot,Gmin,TLP,LSWC,MajVLA,N,C,P,K,TWI,DBH,SD
2,Gustavia,hexapetala,Gustavia_hexapetala,TF,TF,Paracou,15,0.822035947,-1.92892,184.2128,4.683976237,2.3,49.74,0.708380949,7.403774934,5.82837,13.53503185,192.3076923
7,Licania,membranacea,Licania_membranacea,TF,TF,Paracou,15,3.268563225,-1.96636,124.1807,2.674983894,1.41,49.06,0.390789188,5.418967385,8.124021,23.08917197,NA
13,Dicorynia,guianensis,Dicorynia_guianensis,TF,TF,Paracou,15,4.624109053,-1.31532,157.8594,4.274267251,1.88,53.17,0.710109133,6.800567101,5.708247,58.12101911,NA
14,Dicorynia,guianensis,Dicorynia_guianensis,TF,TF,Paracou,15,3.006559784,-1.33612,157.9045,4.390480067,2.12,52.4,0.753464188,6.688967385,5.708247,30.41401274,278.8461538
156,Poraqueiba,guianensis,Poraqueiba_guianensis,TF,TF,Paracou,14,1.728465905,-2.09948,119.0406,4.527417986,1.12,50.19,0.386825241,3.590250107,5.588491,19.9044586,298.0769231
160,Poraqueiba,guianensis,Poraqueiba_guianensis,TF,TF,Paracou,14,4.191577323,-2.03916,172.1575,4.922137905,1.13,47.68,0.640087067,5.618590357,8.119463,23.40764331,304.4871795
166,Poraqueiba,guianensis,Poraqueiba_guianensis,TF,TF,Paracou,14,1.445449755,-1.83116,133.7578,4.421231839,0.93,53.18,0.378265332,2.608949306,8.119463,11.94267516,352.5641026
170,Iryanthera,sagotiana,Iryanthera_sagotiana,TF,TF,Paracou,14,1.006987509,-1.5982,164.2501,9.167460468,1.11,48.76,0.58475658,6.115822001,5.770796,16.24203822,73.71794872
175,Dicorynia,guianensis,Dicorynia_guianensis,TF,TF,Paracou,14,2.683131642,-1.45468,156.9881,5.229320992,2.36,52.05,1.015594864,7.142161438,6.838751,25.15923567,NA
140,Poraqueiba,guianensis,Poraqueiba_guianensis,TF,TF,Paracou,11,3.850352385,-1.95596,121.2291,4.439777141,1.06,51.46,0.453060536,4.43087492,7.750878,13.37579618,314.1025641
184,Poraqueiba,guianensis,Poraqueiba_guianensis,TF,TF,Paracou,11,6.345029966,-1.88108,116.7065,4.265121341,0.73,46.3,0.387818158,6.565307703,7.750878,12.57961783,365.3846154
189,Virola,michelii,Virola_michelii,TF,TF,Paracou,11,1.690649251,-2.05788,124.7359,6.50009233,1.47,49.01,0.503087067,5.011090357,6.146863,33.43949045,NA
190,Virola,michelii,Virola_michelii,TF,TF,Paracou,11,2.921870409,-2.04748,130.519,5.896248661,1.44,52.55,0.481868936,4.09268304,6.146863,24.20382166,NA
191,Poraqueiba,guianensis,Poraqueiba_guianensis,TF,TF,Paracou,11,0.8888033,-1.86652,140.6373,5.162907154,1.17,56.68,0.432344411,3.153994351,6.814266,14.17197452,326.9230769
193,Virola,michelii,Virola_michelii,TF,TF,Paracou,11,2.450190952,-1.7334,147.5944,5.110937381,1.9,50.91,0.579666733,4.493333691,6.814266,26.27388535,NA
29,Poraqueiba,guianensis,Poraqueiba_guianensis,TF,TF,Paracou,15,1.788188984,-2.01004,128.2889,4.167225577,1.12,51.49,0.563746061,3.587761265,5.543244,15.2866242,391.025641
30,Poraqueiba,guianensis,Poraqueiba_guianensis,TF,TF,Paracou,15,2.276769982,-1.97052,160.4218,5.021528718,1.1,51.31,0.605464188,5.813967385,8.124021,17.19745223,224.3589744
33,Gustavia,hexapetala,Gustavia_hexapetala,TF,TF,Paracou,15,2.076556443,-1.93308,225.3025,5.128072294,1.59,50.5,0.599364823,11.35760977,8.083855,13.53503185,346.1538462
50,Gustavia,hexapetala,Gustavia_hexapetala,TF,TF,Paracou,15,0.856258957,-2.15772,161.2775,5.494658649,1.72,47.14,0.488936315,5.413141102,7.951713,14.01273885,192.3076923
51,Dicorynia,guianensis,Dicorynia_guianensis,TF,TF,Paracou,15,7.01415174,-1.6086,156.4003,4.463773235,1.74,51.84,0.482664188,3.548467385,7.951713,15.2866242,211.5384615
74,Licania,membranacea,Licania_membranacea,TF,TF,Paracou,6,3.349009769,-1.95804,157.7732,3.983878885,1.25,49.9,0.405703511,12.1453723,9.552659,17.67515924,NA
88,Virola,michelii,Virola_michelii,TF,TF,Paracou,6,2.145659967,-1.7334,155.03,7.760236435,2.11,53.23,0.67892653,5.7914861,11.244987,13.37579618,272.4358974
94,Licania,membranacea,Licania_membranacea,TF,TF,Paracou,6,3.927597246,-1.9206,145.0477,4.857953165,1.75,47.4,0.613200267,8.97256292,10.639692,13.85350318,NA
